ID,Volcano,GVP Volcano Number,Eruption_name,Magma_type,Eruption_type,MER_kg/s,MER_note,Vent_elevation_km,Column_height_km,Column_top_altitude_km,Column_height_note,Duration_hr,Duration_note
IS_HEK_1673,Hekla,372070,Hekla Geology 1673,Intermediate,Magmatic small to moderate,2.1E+07,PUB_CAL_MID,1.5,15,16,CAL_A02_MID,0.8,UDS_MID
IS_HEK_17660405,Hekla,372070,Hekla Geology 1766 04 April 05 subplinian phase,Intermediate,Magmatic small to moderate,3.1E+07,PUB_CAL_MID,1.5,18,19,CAL_A02_MID,5.5,UDS_MID
IS_HEK_19470329_black,Hekla,372070,Hekla Geology 1947 03 March 29 brownish-black ash,Intermediate,Magmatic small to moderate,1.6E+07,PUB_UDS,1.5,16,17,VIS_A06_MID,0.5,UDS
IS_HEK_19470329_grey,Hekla,372070,Hekla Geology 1947 03 March 29 brownish-grey ash,Intermediate,Magmatic small to moderate,4.6E+07,PUB_UDS,1.5,27,28,VIS_A06,0.5,UDS
IS_HEK_19700505,Hekla,372070,Hekla 1970 05 May 05,Mafic,Magmatic large,6.0E+06,THS_CMD,1.5,15,16,UDS_A06,2.0,UDS
IS_HEK_19800817,Hekla,372070,Hekla 1980 08 August 17,Intermediate,Magmatic large,2E+06,PUB_UDS,1.5,14,15,UDS_A06,5.0,UDS
IS_HEK_19910117,Hekla,372070,Hekla 1991 01 January 17 phase 1,Mafic,Magmatic small to moderate,9.70E+06,PUB_CAL_MID,1.5,11,12,VIS_PVD_ERR,0.8,UDS
ID_AKT_20191222_Sus,Anak Krakatau,262000,Anak Krakatau 2019 12 December 22 Sustained,Intermediate,Magmatic small to moderate,5E+05,PUB_INS,0.3,,,,10.0,UDS
ID_AKT_20191222_Vul,Anak Krakatau,262000,Anak Krakatau 2019 12 December 22 Vulcanian,Intermediate,Magmatic small to moderate,9E+05,PUB_INS,0.3,15,15,UDS_A06,0.7,UDS
ID_KLD_20140213,Kelud,263280,Kelud 2014 02 February 13,Mafic,Magmatic large,6.5E+07,PUB_VDD_ERR,1.7,17,17,SAT_PVD,2.3,UDS
ID_MRP_20040420,Merapi,263250,Merapi 2014 04 April 20,Intermediate,Steam-driven,,,2.9,,,,0.4,INS
ID_RNJ_20160801,Rinjani,264030,Rinjani 2016 08 August 01,Intermediate,Magmatic small to moderate,,,3.7,6,10,VIS_PVD,2.0,UDS
ID_TAM_1815,Tambora,264040,Tambora Geology 1815,Intermediate,Magmatic large,2E+09,PUB_CAL,2.9,39,42,CAL_A06_MID,3.5,VIS_MID
IT_ETN_20010719,Etna,211060,Etna 2001 07 July 19-24,Mafic,Steam-driven,3.6E+03,THS_CMD,2.6,1.3,3.9,UDS_PVD_MID,127.0,UDS_MAX_DAY
IT_ETN_20110709,Etna,211060,Etna 2011 07 July 09,Mafic,Magmatic small to moderate,1.03E+05,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.6,UDS
